Rank,Title,Score
1,Sousou no Frieren,9.32
2,One Piece Fan Letter,9.17
3,Fullmetal Alchemist: Brotherhood,9.09
4,Steins;Gate,9.07
5,Shingeki no Kyojin Season 3 Part 2,9.05
6,Gintama°,9.05
7,Gintama: The Final,9.04
8,Gintama',9.03
9,Hunter x Hunter (2011),9.03
10,Gintama': Enchousen,9.02
11,Bleach: Sennen Kessen-hen,9.01
12,Bleach: Sennen Kessen-hen - Soukoku-tan,9.01
13,Ginga Eiyuu Densetsu,9.01
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.00
15,Gintama.,8.98
16,Fruits Basket: The Final,8.96
17,Clannad: After Story,8.93
18,Gintama,8.93
19,Koe no Katachi,8.93
20,3-gatsu no Lion 2nd Season,8.91
21,Code Geass: Hangyaku no Lelouch R2,8.91
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90
23,Kusuriya no Hitorigoto,8.89
24,Look Back,8.89
25,Monster,8.88
26,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88
27,Owarimonogatari 2nd Season,8.87
28,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.87
29,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87
30,Violet Evergarden Movie,8.85
31,Kimi no Na wa.,8.83
32,Kingdom 3rd Season,8.83
33,Gintama.: Shirogane no Tamashii-hen,8.81
34,Vinland Saga Season 2,8.81
35,Jujutsu Kaisen 2nd Season,8.79
36,Mob Psycho 100 II,8.79
37,Monogatari Series: Off & Monster Season,8.79
38,Boku no Kokoro no Yabai Yatsu 2nd Season,8.79
39,Shingeki no Kyojin: The Final Season,8.78
40,Kizumonogatari III: Reiketsu-hen,8.78
41,Bocchi the Rock!,8.77
42,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77
43,Hajime no Ippo,8.77
44,Sen to Chihiro no Kamikakushi,8.77
45,Shingeki no Kyojin: The Final Season Part 2,8.76
46,Vinland Saga,8.76
47,Monogatari Series: Second Season,8.76
48,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.75
49,Cowboy Bebop,8.75
50,The First Slam Dunk,8.74
51,Shiguang Dailiren,8.73
52,Ashita no Joe 2,8.73
53,Hibike! Euphonium 3,8.73
54,Kimetsu no Yaiba: Yuukaku-hen,8.73
55,Kingdom 4th Season,8.73
56,Kingdom 5th Season,8.73
57,Mushishi Zoku Shou 2nd Season,8.72
58,One Piece,8.72
59,Mob Psycho 100 III,8.71
60,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.71
61,86 Part 2,8.71
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70
63,Code Geass: Hangyaku no Lelouch,8.70
64,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70
65,Mushishi Zoku Shou,8.69
66,Mo Dao Zu Shi: Wanjie Pian,8.68
67,Great Teacher Onizuka,8.68
68,Violet Evergarden,8.68
69,Tian Guan Cifu Er,8.67
70,Hajime no Ippo: New Challenger,8.67
71,Howl no Ugoku Shiro,8.67
72,Mononoke Hime,8.66
73,Mushishi,8.65
74,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.65
75,Odd Taxi,8.65
76,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65
77,Haikyuu!! Movie: Gomisuteba no Kessen,8.65
78,"""Oshi no Ko"" 2nd Season",8.64
79,Made in Abyss,8.64
80,Natsume Yuujinchou Shi,8.64
81,Shigatsu wa Kimi no Uso,8.64
82,Shiguang Dailiren II,8.63
83,Shingeki no Kyojin Season 3,8.63
84,Tengen Toppa Gurren Lagann,8.63
85,Bungou Stray Dogs 5th Season,8.63
86,Dandadan,8.63
87,Death Note,8.62
88,Haikyuu!! Second Season,8.62
89,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62
90,Made in Abyss: Retsujitsu no Ougonkyou,8.62
91,Natsume Yuujinchou Shichi,8.62
92,Ping Pong the Animation,8.62
93,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61
94,Natsume Yuujinchou Roku,8.61
95,"""Oshi no Ko""",8.61
96,Cyberpunk: Edgerunners,8.61
97,Dungeon Meshi,8.61
98,Hajime no Ippo: Rising,8.60
99,Suzumiya Haruhi no Shoushitsu,8.60
100,Shin Evangelion Movie:||,8.59
